17,3,155,1,20,"AlignYAxisTo@160-179@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","AlignYAxisTo","AlignYAxisTo( const XMFLOAT3 & direction)",160,179
17,3,155,1,20,"AlignXAxisTo@181-200@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","AlignXAxisTo","AlignXAxisTo( const XMFLOAT3 & direction)",181,200
6,3,39,0,6,"EvaluationScene::~EvaluationScene@204-209@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::~EvaluationScene","EvaluationScene::~EvaluationScene()",204,209
6,1,30,1,6,"EvaluationScene::Initialize@211-216@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::Initialize","EvaluationScene::Initialize( const SceneContext & ctx)",211,216
13,4,137,0,14,"EvaluationScene::InitializeCamera@218-231@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::InitializeCamera","EvaluationScene::InitializeCamera()",218,231
77,10,801,0,85,"EvaluationScene::InitializeModels@233-317@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::InitializeModels","EvaluationScene::InitializeModels()",233,317
16,6,119,0,18,"EvaluationScene::InitializeParticles@319-336@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::InitializeParticles","EvaluationScene::InitializeParticles()",319,336
13,3,67,0,15,"EvaluationScene::Update@338-352@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::Update","EvaluationScene::Update()",338,352
44,13,351,1,50,"EvaluationScene::UpdateMovement@354-403@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::UpdateMovement","EvaluationScene::UpdateMovement( float deltaTime)",354,403
37,14,254,0,41,"EvaluationScene::UpdateDebugControls@405-445@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::UpdateDebugControls","EvaluationScene::UpdateDebugControls()",405,445
52,13,440,1,59,"EvaluationScene::UpdateModelAnimation@447-505@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::UpdateModelAnimation","EvaluationScene::UpdateModelAnimation( float deltaTime)",447,505
6,1,35,0,6,"EvaluationScene::UpdateAttachmentPoints@507-512@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::UpdateAttachmentPoints","EvaluationScene::UpdateAttachmentPoints()",507,512
32,3,223,1,34,"EvaluationScene::EmitHandParticles@514-547@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::EmitHandParticles","EvaluationScene::EmitHandParticles( float deltaTime)",514,547
13,1,171,1,13,"EvaluationScene::SubmitLighting@549-561@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::SubmitLighting","EvaluationScene::SubmitLighting( LightingScene & lightingScene)",549,561
5,1,19,0,5,"EvaluationScene::Draw@563-567@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::Draw","EvaluationScene::Draw()",563,567
2,1,7,0,3,"EvaluationScene::DrawForeground3D@569-571@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::DrawForeground3D","EvaluationScene::DrawForeground3D()",569,571
5,2,20,0,5,"EvaluationScene::DrawTransparent@573-577@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::DrawTransparent","EvaluationScene::DrawTransparent()",573,577
5,1,19,0,5,"EvaluationScene::DrawPostProcessOverlay@579-583@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::DrawPostProcessOverlay","EvaluationScene::DrawPostProcessOverlay()",579,583
7,4,44,0,7,"EvaluationScene::DrawCharacter@585-591@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::DrawCharacter","EvaluationScene::DrawCharacter()",585,591
45,9,482,0,53,"EvaluationScene::DrawWeapon@593-645@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::DrawWeapon","EvaluationScene::DrawWeapon()",593,645
43,16,301,0,49,"EvaluationScene::DrawBoneRig@647-695@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::DrawBoneRig","EvaluationScene::DrawBoneRig()",647,695
31,13,217,0,34,"EvaluationScene::DrawBindPoseRig@697-730@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::DrawBindPoseRig","EvaluationScene::DrawBindPoseRig()",697,730
10,4,80,0,11,"EvaluationScene::DrawSceneProps@732-742@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::DrawSceneProps","EvaluationScene::DrawSceneProps()",732,742
65,27,512,0,75,"EvaluationScene::DrawBoneDebugOverlay@744-818@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::DrawBoneDebugOverlay","EvaluationScene::DrawBoneDebugOverlay()",744,818
74,17,632,0,85,"EvaluationScene::DrawDebugPanel@820-904@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::DrawDebugPanel","EvaluationScene::DrawDebugPanel()",820,904
31,12,252,0,37,"EvaluationScene::DrawBoneLabels@906-942@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::DrawBoneLabels","EvaluationScene::DrawBoneLabels()",906,942
24,9,200,1,27,"EvaluationScene::FindBoneIndex@945-971@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::FindBoneIndex","EvaluationScene::FindBoneIndex( const std :: vector<std::string> & candidates) const",945,971
27,8,212,1,32,"EvaluationScene::BoneWorldPosition@973-1004@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::BoneWorldPosition","EvaluationScene::BoneWorldPosition( uint32_t boneIndex) const",973,1004
11,3,75,1,13,"EvaluationScene::BindBoneWorldPosition@1006-1018@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::BindBoneWorldPosition","EvaluationScene::BindBoneWorldPosition( uint32_t boneIndex) const",1006,1018
8,1,62,0,8,"EvaluationScene::CharacterWorldMatrix@1020-1027@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::CharacterWorldMatrix","EvaluationScene::CharacterWorldMatrix() const",1020,1027
9,3,57,1,9,"EvaluationScene::BoneSegmentModelId@1029-1037@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::BoneSegmentModelId","EvaluationScene::BoneSegmentModelId( const std :: string & boneName) const",1029,1037
6,1,48,1,6,"EvaluationScene::IsMajorDebugBone@1039-1044@app\src\scene\EvaluationScene.cpp","app\src\scene\EvaluationScene.cpp","EvaluationScene::IsMajorDebugBone","EvaluationScene::IsMajorDebugBone( const std :: string & boneName) const",1039,1044
