engine\src\model\MeshRendererShadow.cpp:118: warning: MeshRenderer::DrawMeshInstancedShadowWithPipeline has 14 NLOC, 2 CCN, 91 token, 7 PARAM, 14 length, 0 ND
engine\src\model\MeshRendererShadow.cpp:133: warning: MeshRenderer::DrawInstancedShadowWithPreparedBuffer has 18 NLOC, 6 CCN, 138 token, 8 PARAM, 18 length, 0 ND
engine\src\model\MeshRendererShadow.cpp:152: warning: MeshRenderer::DrawShadowInstancedWithPreparedBuffer has 36 NLOC, 14 CCN, 248 token, 7 PARAM, 38 length, 0 ND
engine\src\model\ModelManager.cpp:193: warning: AppendPrimitiveModel has 40 NLOC, 7 CCN, 309 token, 8 PARAM, 44 length, 0 ND
engine\src\model\SkyboxRenderer.cpp:118: warning: SkyboxRenderer::Draw has 38 NLOC, 18 CCN, 365 token, 2 PARAM, 44 length, 0 ND
engine\src\particle\GPUParticleSystem.cpp:413: warning: GPUParticleSystem::Update has 50 NLOC, 18 CCN, 302 token, 1 PARAM, 58 length, 0 ND
engine\src\particle\GPUParticleSystemResources.cpp:468: warning: GPUParticleSystem::EnsureExplicitSpawnFrameCapacity has 63 NLOC, 17 CCN, 451 token, 2 PARAM, 69 length, 0 ND
engine\src\sound\SoundManagerAnalysis.cpp:111: warning: SoundManager::GetAmplitudeAt has 73 NLOC, 17 CCN, 670 token, 3 PARAM, 83 length, 0 ND
engine\src\sound\SoundManagerStreaming.cpp:41: warning: SoundManager::CreateStreamingVoice has 84 NLOC, 18 CCN, 557 token, 3 PARAM, 94 length, 0 ND
engine\src\sprite\SpriteRenderer.cpp:211: warning: SpriteRenderer::FlushQueuedDraws has 79 NLOC, 18 CCN, 570 token, 0 PARAM, 84 length, 0 ND
engine\src\sprite\SpriteRendererPipeline.cpp:48: warning: SpriteRenderer::CreatePipelineState has 95 NLOC, 14 CCN, 739 token, 0 PARAM, 103 length, 0 ND
engine\src\texture\TextureManagerDynamic.cpp:107: warning: UploadTextureSubresources has 56 NLOC, 14 CCN, 350 token, 7 PARAM, 64 length, 0 ND
